# V1 V2 V3 V4 V5 V6 V7 V8
570 590.8215244 4898.856348 / -2.02726870458802 1.63243804537695 -0.878508267374497 0.0813889450822723
571 591.3142795 4898.939624 / -1.39108139868762 1.63243804537695 -0.878508267374497 0.0813889450822723
572 592.4370906 4899.624372 / -0.0358377185560917 1.63243804537695 -0.889999238444134 0.0813889450822723
573 503.5338838 4892.683685 / -0.991128841602746 1.18736840284886 -0.422673829436029 0.0813889450822723
574 504.9713345 4894.077454 / 1.40305214105322 -1.0379798097916 -0.464482364640654 -1.88908025164642
575 505.8334141 4894.268651 / 0.758549090887782 -1.0379798097916 -0.464482364640654 -1.88908025164642
576 515.7466197 4894.423004 / 1.33506448303886 -0.681924095769128 0.265417195175643 0.0813889450822723
577 516.9129174 4893.560761 / -1.7225719594903 -0.681924095769128 0.265417195175643 0.0813889450822723
578 517.7626919 4893.267107 / -0.565744940021289 -0.681924095769128 0.265417195175643 0.0813889450822723
579 527.4781561 4893.795509 / 0.286217541246148 -0.592910167263509 1.0150794099527 0.0813889450822723
580 528.1908982 4893.529176 / -1.27691812413972 -0.592910167263509 1.0150794099527 0.0813889450822723
581 529.2538831 4893.929136 / 0.92419555381005 -0.592910167263509 1.0150794099527 0.0813889450822723
582 535.6222273 4895.155316 / -0.393785174140739 -0.592910167263509 0.503047518381415 0.0813889450822723
583 536.2674842 4894.123739 / 0.244482741889467 -0.592910167263509 0.503047518381415 0.0813889450822723
584 537.6718341 4895.57685 / -0.308097298671543 -0.592910167263509 0.503047518381415 0.0813889450822723
585 551.5159617 4896.087341 / 2.67393602372072 -0.0588265962298 1.94303539916324 0.0813889450822723
586 552.1109619 4896.027279 / 1.65561825268228 -0.0588265962298 1.94303539916324 0.0813889450822723
587 552.7061908 4895.333343 / 2.56415010254842 -0.0588265962298 1.94303539916324 0.0813889450822723
588 562.8562866 4896.241254 / -1.06092538531329 -0.147840524735418 1.26730296268708 0.0813889450822723
589 564.3163478 4895.034488 / -0.40147631741465 -0.147840524735418 1.26730296268708 0.0813889450822723
590 564.6569654 4895.563367 / -0.580817562825847 -0.147840524735418 1.26730296268708 0.0813889450822723
591 574.6978534 4895.275595 / -0.0646512750327714 -0.0588265962298 1.46917566971112 0.0813889450822723
592 575.5321777 4895.439886 / -0.413274792943522 -0.0588265962298 1.46917566971112 0.0813889450822723
593 576.3017295 4896.835379 / 0.392232940914352 -0.0588265962298 1.46917566971112 0.0813889450822723
594 520.0362522 4886.165152 / -0.624841489738354 -1.48304945231969 -1.34134104681086 -1.88908025164642
595 520.8217082 4885.634447 / 1.76652046530127 -1.48304945231969 -1.34134104681086 0.0813889450822723
596 521.791908 4886.305682 / 2.67655555405676 -1.48304945231969 -1.34134104681086 2.05185814181097
597 528.1661162 4883.014033 / 0.156333646298893 -1.39403552381407 -1.34134104681086 0.0813889450822723
598 529.5778625 4883.500271 / -0.685984536289677 -1.39403552381407 -1.34134104681086 0.0813889450822723
599 530.3156523 4881.772677 / 1.28601654559696 -1.39403552381407 -1.34134104681086 0.0813889450822723
600 535.6478902 4883.719252 / 1.8880334346319 -1.39403552381407 -1.34134104681086 0.0813889450822723
601 536.486463 4882.277891 / 0.132091114481462 -1.39403552381407 -1.34134104681086 0.0813889450822723
602 537.8902814 4881.994022 / 1.98753118285308 -1.39403552381407 -1.34134104681086 0.0813889450822723
603 575.3235766 4882.929339 / -1.14889221626849 1.27638233135447 -0.68177722227978 2.05185814181097
604 576.355205 4882.982534 / -1.65822362916495 1.27638233135447 -0.68177722227978 2.05185814181097
605 577.3330574 4884.805966 / 1.02894753823769 1.27638233135447 -0.697217615712542 2.05185814181097
606 552.405145 4878.361931 / -0.698879701048971 1.8994798308938 -0.869471484259301 0.0813889450822723
607 553.3022078 4879.702145 / -0.482941229780046 1.8994798308938 -0.869471484259301 -1.88908025164642
608 512.5274045 4874.275232 / 1.22978373725573 -0.770938024274746 -0.144245876692793 0.0813889450822723
609 513.2268616 4873.700705 / 2.6654875601454 -0.770938024274746 -0.144245876692793 0.0813889450822723
610 514.3961417 4875.348744 / -0.479981013337413 -0.770938024274746 -0.144245876692793 0.0813889450822723
611 528.3865326 4871.634879 / 0.742026513495488 -1.12699373829722 -0.658430462844145 2.05185814181097
