# Session DeviceID Occasion X Y Sex
McK18 D82533 1 544784.435465859 4898065.80690368 F
McK18 D82533 1 544519.393679389 4897753.60722256 F
McK18 D82533 1 540685.581877806 4898395.47884395 F
McK18 D82533 1 539871.512133972 4899828.82341081 F
McK18 D82533 1 539875.351704531 4899912.93199791 F
McK18 D82533 1 539929.73314396 4899967.34640562 F
McK18 D82533 1 539643.800488536 4900407.4859812 F
McK18 D82533 1 540192.850695728 4900005.45441391 F
McK18 D82533 1 539919.997778468 4900206.4469369 F
McK18 D82533 1 539755.00265664 4900113.25022174 F
McK18 D82533 1 539756.33898223 4900156.178459 F
McK18 D82533 1 539917.381486869 4901110.37622017 F
McK18 D82533 1 538021.745690451 4900470.04161366 F
McK18 D82533 1 538123.730822645 4900527.43868448 F
McK18 D82533 1 538178.916247514 4900555.02926734 F
McK18 D82533 1 538284.132677489 4900802.21120782 F
McK18 D82533 1 538213.235994406 4900750.63545613 F
McK18 D82533 1 538020.334679448 4900674.72550835 F
McK18 D82533 1 538092.334392737 4900885.75618527 F
McK18 D82533 1 538370.448652324 4901417.0931123 F
McK18 D82533 1 538364.05931072 4901421.8320027 F
McK18 D82533 1 542838.430779278 4902155.52626033 F
McK18 D82533 1 542921.996634356 4901714.03857152 F
McK18 D82533 1 544119.640975325 4901666.48891812 F
McK18 D82533 1 543925.680589106 4901805.14404887 F
McK18 D82533 1 547748.836393133 4900037.6585471 F
McK18 D82533 1 542984.288463074 4902983.23595779 F
McK18 D82533 1 543357.676465376 4903400.55262725 F
McK18 D82533 1 543606.952728087 4902786.88965909 F
McK18 D82533 1 544062.021036376 4902054.4749765 F
McK18 D82533 1 544044.210405088 4901989.84096142 F
McK18 D82533 1 544132.794663518 4902050.38609829 F
McK18 D82533 1 543687.920444826 4900790.71144219 F
McK18 D82533 1 544139.207028066 4902042.77601118 F
McK18 D82533 1 544115.649367486 4901679.63591101 F
McK18 D82533 1 543258.806701109 4900692.45997593 F
McK18 D82533 1 542154.592423099 4899379.48202336 F
McK18 D82533 1 542835.30675269 4901002.39530372 F
McK18 D82533 1 542161.595997381 4901758.07494559 F
McK18 D82533 1 541443.065318104 4901482.42747045 F
McK18 D82533 1 541637.154500348 4901222.28143914 F
McK18 D82533 1 543450.250673022 4902696.58567144 F
McK18 D82533 1 543796.585927597 4902676.58803691 F
McK18 D82533 1 543135.35793598 4900827.21670303 F
McK18 D82533 1 543192.420399008 4900849.96363699 F
