# Session DeviceID Occasion X Y Sex
McK19 D82532 1 529277.641296737 4910980.23332595 F
McK19 D82532 1 529594.337438225 4910516.52570904 F
McK19 D82532 1 530966.932545006 4908774.25823435 F
McK19 D82532 1 532913.357352035 4906715.91561018 F
McK19 D82533 1 538064.201420783 4900945.26313049 F
McK19 D82533 1 540256.826042005 4901663.18512513 F
McK19 D82533 1 540472.539308339 4901492.52202189 F
McK19 D82533 1 540490.968388046 4901509.48632501 F
McK19 D82533 1 540094.269858464 4901238.23972162 F
McK19 D82533 1 540978.086148699 4900974.62262456 F
McK19 D82533 1 541279.689993828 4901220.41951426 F
McK19 D82533 1 542304.182943954 4899603.27792183 F
McK19 D82533 1 545023.913364634 4897490.30891127 F
McK19 D82533 1 544983.842329499 4897956.28261269 F
McK19 D82533 1 539875.351704531 4899912.93199791 F
McK19 D82533 1 540173.272357237 4900004.53463691 F
McK19 D82533 1 539907.476432798 4900066.69138595 F
McK19 D82533 1 539765.619728396 4900179.21658024 F
McK19 D82533 1 539932.625935599 4901147.34672324 F
McK19 D82533 1 538033.981332407 4900486.96293825 F
McK19 D82533 1 538178.916247514 4900555.02926734 F
McK19 D82533 1 538290.485423077 4900831.15049851 F
McK19 D82533 1 538020.334679448 4900674.72550835 F
McK19 D82533 1 538989.638611695 4901720.25675283 F
McK19 D82533 1 544093.434111616 4901439.19096902 F
McK19 D82533 1 543895.486844826 4902926.86539297 F
McK19 D82533 1 543010.654177242 4903254.2621243 F
McK19 D82533 1 543221.335570089 4903349.94370291 F
McK19 D82533 1 543672.144067985 4902818.05942247 F
McK19 D82533 1 544140.976101039 4902043.18781354 F
McK19 D82533 1 544101.921986872 4901834.77526885 F
McK19 D82533 1 544129.201621063 4902060.08123954 F
McK19 D82533 1 544134.159607905 4902101.30246187 F
McK19 D82533 1 543716.930059006 4900132.45745549 F
McK19 D82533 1 541503.058042451 4901343.71592503 F
McK19 D82533 1 543222.229080037 4900765.06345761 F
McK19 D82533 1 543197.640153073 4900858.58435978 F
