# V1 V2 V3 V4 V5 V6
McK18 D82533 1 545.096067143479 4898.94434646899 FALSE
McK18 D82533 1 544.946811231507 4897.85352623082 FALSE
McK18 D82533 1 544.545498022256 4897.81058953064 FALSE
McK18 D82533 1 544.784435465859 4898.06580690368 FALSE
McK18 D82533 1 544.519393679389 4897.75360722256 FALSE
McK18 D82533 1 539.871512133972 4899.82882341081 FALSE
McK18 D82533 1 539.875351704531 4899.91293199791 FALSE
McK18 D82533 1 539.919997778468 4900.2064469369 FALSE
McK18 D82533 1 539.75500265664 4900.11325022174 FALSE
McK18 D82533 1 539.75633898223 4900.156178459 FALSE
McK18 D82533 1 539.917381486869 4901.11037622017 FALSE
McK18 D82533 1 538.021745690451 4900.47004161366 FALSE
McK18 D82533 1 538.123730822645 4900.52743868448 FALSE
McK18 D82533 1 538.178916247514 4900.55502926734 FALSE
McK18 D82533 1 538.213235994406 4900.75063545613 FALSE
McK18 D82533 1 538.020334679448 4900.67472550835 FALSE
McK18 D82533 1 538.370448652324 4901.4170931123 FALSE
McK18 D82533 1 547.748836393133 4900.0376585471 FALSE
McK18 D82533 1 542.984288463074 4902.98323595779 FALSE
McK18 D82533 1 543.357676465376 4903.40055262725 FALSE
McK18 D82533 1 543.687920444826 4900.79071144219 FALSE
McK18 D82533 1 544.139207028066 4902.04277601118 FALSE
McK18 D82533 1 544.115649367486 4901.67963591101 FALSE
McK18 D82533 1 542.161595997381 4901.75807494559 FALSE
McK18 D82533 1 541.637154500348 4901.22228143914 FALSE
McK18 D82533 1 543.450250673022 4902.69658567144 FALSE
McK18 D82533 1 543.13535793598 4900.82721670303 FALSE
McK19 D82510 1 548.935726458198 4908.82681996131 FALSE
McK19 D82510 1 548.956525218722 4908.9656376921 FALSE
McK19 D82510 1 548.824570644277 4909.06085765471 FALSE
McK19 D82510 1 548.816818942646 4908.93623392022 FALSE
McK19 D82510 1 549.04490612369 4909.22697337752 FALSE
McK19 D82510 1 548.172576567049 4908.506604891 FALSE
McK19 D82510 1 547.115507462655 4908.02708832843 FALSE
McK19 D82510 1 546.79640180742 4907.59575042087 FALSE
McK19 D82510 1 548.694507622273 4905.21888673677 FALSE
McK19 D82510 1 548.972336861689 4904.94236024472 FALSE
McK19 D82510 1 549.17150305373 4905.57220024124 FALSE
McK19 D82510 1 547.876191080184 4905.09414901554 FALSE
McK19 D82510 1 550.308553951796 4907.80532208779 FALSE
McK19 D82510 1 549.134174619628 4906.92246669194 FALSE
McK19 D82510 1 548.988224384847 4906.89783399289 FALSE
McK19 D82510 1 548.748980907423 4907.31114241118 FALSE
McK19 D82510 1 548.939518758817 4907.36773912458 FALSE
McK19 D82510 1 548.873466775228 4907.31059417293 FALSE
McK19 D82510 1 548.940430774683 4907.33112274727 FALSE
McK19 D82510 1 548.805652869163 4907.18909903742 FALSE
McK19 D82510 1 548.811472408488 4907.34968687833 FALSE
McK19 D82510 1 548.898399731962 4907.26431563563 FALSE
McK19 D82510 1 548.575197923733 4907.38520617079 FALSE
McK19 D82510 1 548.745960867281 4907.21451334749 FALSE
McK19 D82510 1 547.862919180476 4907.60436947263 FALSE
McK19 D82510 1 546.617240521744 4907.39607107475 FALSE
McK19 D82510 1 546.609481827379 4907.49329946924 FALSE
McK19 D82510 1 548.745695975557 4907.13663297328 FALSE
McK19 D82510 1 547.983825972699 4908.1471937896 FALSE
McK19 D82510 1 547.796965432709 4908.10559180311 FALSE
McK19 D82510 1 548.299127639583 4906.92992092234 FALSE
McK19 D82510 1 547.777546551261 4904.89533973727 FALSE
McK19 D82510 1 548.117127781758 4905.06555796597 FALSE
McK19 D82510 1 548.841977283023 4907.22572680594 FALSE
McK19 D82510 1 548.076423053916 4909.63617413376 FALSE
McK19 D82510 1 549.611796005436 4909.82654579629 FALSE
McK19 D82510 1 549.655957764881 4908.91611757425 FALSE
McK19 D82510 1 546.048460995262 4907.24865967621 FALSE
McK19 D82510 1 546.955030840904 4907.36719652106 FALSE
McK19 D82510 1 547.51444238818 4906.72429622538 FALSE
McK19 D82510 1 545.566268717932 4907.2223554464 FALSE
McK19 D82510 1 548.405733313495 4906.72330016581 FALSE
McK19 D82510 1 547.902621345281 4906.34494576979 FALSE
McK19 D82522 1 574.765762968751 4891.70659707537 FALSE
