# Session DeviceID Occasion X Y Sex
McK18 D82522 1 576245.199643451 4896771.58003607 F
McK18 D82522 1 575796.962564032 4897305.5274043 F
McK18 D82522 1 577135.632409183 4898455.80638961 F
McK18 D82522 1 575593.053851111 4897175.49090467 F
McK18 D82522 1 575713.334400615 4896734.43914432 F
McK18 D82522 1 577830.893335116 4901283.79744922 F
McK18 D82522 1 577898.017460948 4900684.7368794 F
McK18 D82522 1 577317.467045488 4900954.90611327 F
McK18 D82522 1 577711.997603618 4900917.51470108 F
McK18 D82522 1 578381.501207547 4899829.6947899 F
McK18 D82522 1 578166.230263787 4899502.74493144 F
McK18 D82522 1 577375.119968178 4899586.41924766 F
McK18 D82522 1 577569.573622119 4899720.70152652 F
McK18 D82522 1 577294.554939804 4900274.43996683 F
McK18 D82522 1 576674.883216337 4899605.13102644 F
McK18 D82522 1 576604.025004335 4899574.03113865 F
McK18 D82522 1 576823.067510036 4899687.62701268 F
McK18 D82522 1 578016.917609461 4899329.47872057 F
McK18 D82522 1 576899.755486943 4900065.63780807 F
McK18 D82522 1 576713.623177962 4899807.55379366 F
McK18 D82522 1 576560.885672284 4899091.40473096 F
McK18 D82522 1 575433.332225112 4897372.43216661 F
McK18 D82522 1 579991.376181396 4899683.8624251 F
McK18 D82522 1 579875.443600994 4899178.50237111 F
McK18 D82522 1 577655.144119191 4898220.2645397 F
McK18 D82522 1 582163.512722912 4894724.50302758 F
McK18 D82532 1 533113.294036472 4908019.45739488 F
McK18 D82532 1 532380.454287093 4907994.31579662 F
McK18 D82532 1 531474.771560773 4908131.17176506 F
McK18 D82532 1 531457.513257828 4908600.82153549 F
McK18 D82532 1 530205.008712577 4908536.75450766 F
McK18 D82532 1 530844.871165345 4908827.83106665 F
McK18 D82532 1 531373.507474133 4907876.78579949 F
McK18 D82532 1 533004.455216858 4906640.96459948 F
McK18 D82532 1 532943.207842329 4907909.8093661 F
McK18 D82532 1 532355.248358275 4907644.78754564 F
McK18 D82532 1 532651.204536495 4907182.97922923 F
McK18 D82532 1 532706.348067549 4908036.35879789 F
McK18 D82532 1 532190.169841216 4907130.49815516 F
McK18 D82532 1 532170.821504392 4907195.62721548 F
McK18 D82532 1 532072.319446102 4907460.23919912 F
McK18 D82532 1 532048.421469885 4907437.17357442 F
McK18 D82532 1 532932.735822748 4907821.60590597 F
McK18 D82532 1 533430.688536119 4908311.36155564 F
McK18 D82532 1 533075.120022855 4908070.60398762 F
McK18 D82532 1 532827.54890276 4907912.49332146 F
McK18 D82532 1 532987.143247124 4907600.1593987 F
McK18 D82532 1 532800.491153737 4907822.35185515 F
McK18 D82532 1 532940.679161001 4907800.7856594 F
McK18 D82532 1 532811.594749399 4907997.97584889 F
McK18 D82532 1 532815.14681993 4908513.5133621 F
McK18 D82532 1 532864.221197894 4908451.74554313 F
McK18 D82532 1 532132.762063459 4907415.52760406 F
McK18 D82532 1 534194.461789262 4907614.8364683 F
McK18 D82532 1 532734.278895521 4908593.94983116 F
McK18 D82532 1 532922.46800508 4908497.20256802 F
McK18 D82532 1 533350.787241409 4908114.34693661 F
McK18 D82532 1 533517.690158432 4907973.14389531 F
McK18 D82532 1 531190.837445332 4907574.98291928 F
McK18 D82532 1 531483.405221348 4908108.35372941 F
McK18 D82532 1 529213.014665595 4910669.48402528 F
McK18 D82532 1 529461.349894265 4910867.58307651 F
McK18 D82532 1 529707.877198164 4910487.23907834 F
McK18 D82532 1 529358.254599466 4909086.40261237 F
McK18 D82532 1 530230.985496241 4908757.32848103 F
McK18 D82532 1 533566.956575127 4906651.73568309 F
McK18 D82532 1 532819.589414345 4907892.14849124 F
McK18 D82533 1 540265.996830906 4901678.79231006 F
McK18 D82533 1 540535.36542632 4901243.39741999 F
McK18 D82533 1 540502.831566524 4901513.01415885 F
McK18 D82533 1 540193.724451236 4901435.26696219 F
